amount,time,location,is_new_location,card_type
1500,14:30,Mumbai,No,Credit
75000,02:15,Unknown,Yes,Prepaid
25000,11:00,Delhi,No,Debit
3000,09:45,Mumbai,No,Credit
60000,03:30,Bangalore,Yes,Prepaid
1200,16:20,Mumbai,No,Debit
45000,23:50,Chennai,Yes,Credit
800,13:10,Mumbai,No,Debit
90000,01:05,Unknown,Yes,Prepaid
5000,10:30,Delhi,No,Credit
2200,15:45,Pune,No,Debit
55000,04:10,Unknown,Yes,Prepaid
1800,12:00,Mumbai,No,Credit
32000,22:30,Hyderabad,Yes,Debit
600,08:15,Delhi,No,Credit
70000,03:00,Unknown,Yes,Prepaid
4500,17:40,Bangalore,No,Credit
28000,20:10,Chennai,No,Debit
95000,02:45,Unknown,Yes,Prepaid
1100,11:30,Pune,No,Debit
3200,14:00,Mumbai,No,Credit
48000,01:30,Unknown,Yes,Prepaid
900,09:00,Delhi,No,Debit
21000,19:20,Hyderabad,No,Credit
65000,03:50,Unknown,Yes,Prepaid
1600,13:45,Bangalore,No,Debit
39000,23:00,Chennai,Yes,Credit
700,10:10,Mumbai,No,Debit
82000,02:20,Unknown,Yes,Prepaid
2500,16:00,Pune,No,Credit
5200,12:30,Delhi,No,Debit
58000,04:40,Unknown,Yes,Prepaid
1300,15:15,Mumbai,No,Credit
27000,21:00,Hyderabad,Yes,Debit
850,08:50,Bangalore,No,Debit
73000,01:15,Unknown,Yes,Prepaid
4000,18:30,Chennai,No,Credit
19000,20:45,Delhi,No,Debit
88000,03:10,Unknown,Yes,Prepaid
1450,11:20,Mumbai,No,Credit
30000,22:10,Pune,Yes,Debit
950,09:30,Bangalore,No,Debit
62000,02:50,Unknown,Yes,Prepaid
2100,14:50,Chennai,No,Credit
41000,23:40,Hyderabad,Yes,Credit
780,10:50,Mumbai,No,Debit
77000,01:40,Unknown,Yes,Prepaid
3300,16:40,Delhi,No,Credit
24000,19:50,Bangalore,No,Debit
53000,04:20,Unknown,Yes,Prepaid
